refrigerant,T_evap,T_cond,superheat,subcooling,COP,eta_exergy,w_comp_kJ,q_evap_kJ,pressure_ratio,ex_dest_comp,ex_dest_cond,ex_dest_evap,ex_dest_exp,ex_dest_total,transcritical
R134a,-30,30,3,3,1.5589,0.3948,93.1791,145.2577,9.128,40.8903,5.2238,-0.0176,10.293,56.3894,0
R134a,-30,30,3,5,1.5896,0.4023,93.1791,148.1133,9.128,40.8903,5.1862,-0.0176,9.6375,55.6964,0
R134a,-30,30,3,7,1.62,0.4097,93.1791,150.9515,9.128,40.8903,5.1298,-0.0176,9.005,55.0076,0
R134a,-30,30,5,3,1.5607,0.3953,94.077,146.8223,9.128,41.0166,5.6319,-0.0486,10.293,56.8928,0
R134a,-30,30,5,5,1.591,0.4026,94.077,149.6778,9.128,41.0166,5.5944,-0.0486,9.6375,56.1998,0
R134a,-30,30,5,7,1.6212,0.4099,94.077,152.516,9.128,41.0166,5.538,-0.0486,9.005,55.511,0
R134a,-30,30,7,3,1.5625,0.3957,94.9689,148.3892,9.128,41.1389,6.0527,-0.0949,10.293,57.3897,0
R134a,-30,30,7,5,1.5926,0.403,94.9689,151.2448,9.128,41.1389,6.0152,-0.0949,9.6375,56.6967,0
R134a,-30,30,7,7,1.6225,0.4102,94.9689,154.083,9.128,41.1389,5.9588,-0.0949,9.005,56.0079,0
R134a,-30,30,10,3,1.5654,0.3964,96.2964,150.7453,9.128,41.3155,6.7076,-0.1924,10.293,58.1236,0
R134a,-30,30,10,5,1.5951,0.4036,96.2964,153.6008,9.128,41.3155,6.67,-0.1924,9.6375,57.4306,0
R134a,-30,30,10,7,1.6246,0.4108,96.2964,156.439,9.128,41.3155,6.6137,-0.1924,9.005,56.7418,0
R134a,-30,35,3,3,1.3877,0.3914,99.4733,138.0438,10.512,42.8525,5.5766,-0.0176,12.1287,60.5402,0
R134a,-30,35,3,5,1.4169,0.3989,99.4733,140.9434,10.512,42.8525,5.5397,-0.0176,11.4156,59.7903,0
R134a,-30,35,3,7,1.4459,0.4064,99.4733,143.8235,10.512,42.8525,5.4844,-0.0176,10.726,59.0453,0
R134a,-30,35,5,3,1.39,0.392,100.4385,139.6084,10.512,42.9922,5.9973,-0.0486,12.1287,61.0695,0
R134a,-30,35,5,5,1.4189,0.3994,100.4385,142.5079,10.512,42.9922,5.9604,-0.0486,11.4156,60.3195,0
R134a,-30,35,5,7,1.4475,0.4069,100.4385,145.3881,10.512,42.9922,5.905,-0.0486,10.726,59.5746,0
R134a,-30,35,7,3,1.3923,0.3926,101.3972,141.1753,10.512,43.1275,6.4304,-0.0949,12.1287,61.5917,0
R134a,-30,35,7,5,1.4209,0.4,101.3972,144.0749,10.512,43.1275,6.3936,-0.0949,11.4156,60.8418,0
R134a,-30,35,7,7,1.4493,0.4073,101.3972,146.955,10.512,43.1275,6.3382,-0.0949,10.726,60.0968,0
R134a,-30,35,10,3,1.3959,0.3935,102.8237,143.5314,10.512,43.3228,7.1035,-0.1924,12.1287,62.3626,0
R134a,-30,35,10,5,1.4241,0.4008,102.8237,146.4309,10.512,43.3228,7.0666,-0.1924,11.4156,61.6126,0
R134a,-30,35,10,7,1.4521,0.408,102.8237,149.3111,10.512,43.3228,7.0113,-0.1924,10.726,60.8677,0
R134a,-30,40,3,3,1.2384,0.3873,105.5579,130.7203,12.048,44.6735,5.8968,-0.0176,14.1187,64.6715,0
R134a,-30,40,3,5,1.2663,0.395,105.5579,133.6689,12.048,44.6735,5.8605,-0.0176,13.3469,63.8633,0
R134a,-30,40,3,7,1.294,0.4026,105.5579,136.5955,12.048,44.6735,5.8061,-0.0176,12.5991,63.0611,0
R134a,-30,40,5,3,1.2411,0.3881,106.5901,132.2848,12.048,44.827,6.3283,-0.0486,14.1187,65.2254,0
R134a,-30,40,5,5,1.2687,0.3957,106.5901,135.2334,12.048,44.827,6.292,-0.0486,13.3469,64.4172,0
R134a,-30,40,5,7,1.2962,0.4032,106.5901,138.16,12.048,44.827,6.2376,-0.0486,12.5991,63.615,0
R134a,-30,40,7,3,1.2438,0.3888,107.615,133.8517,12.048,44.9757,6.7722,-0.0949,14.1187,65.7717,0
R134a,-30,40,7,5,1.2712,0.3963,107.615,136.8003,12.048,44.9757,6.7359,-0.0949,13.3469,64.9635,0
R134a,-30,40,7,7,1.2984,0.4038,107.615,139.7269,12.048,44.9757,6.6814,-0.0949,12.5991,64.1613,0
R134a,-30,40,10,3,1.248,0.39,109.1398,136.2078,12.048,45.1904,7.461,-0.1924,14.1187,66.5777,0
R134a,-30,40,10,5,1.275,0.3974,109.1398,139.1564,12.048,45.1904,7.4247,-0.1924,13.3469,65.7695,0
R134a,-30,40,10,7,1.3018,0.4047,109.1398,142.083,12.048,45.1904,7.3703,-0.1924,12.5991,64.9673,0
R134a,-30,45,3,3,1.1062,0.3826,111.4371,123.2762,13.747,46.3626,6.1857,-0.0176,16.2667,68.7974,0
R134a,-30,45,3,5,1.1332,0.3904,111.4371,126.28,13.747,46.3626,6.1499,-0.0176,15.4343,67.9291,0
R134a,-30,45,3,7,1.1599,0.3982,111.4371,129.2586,13.747,46.3626,6.0962,-0.0176,14.6269,67.0682,0
R134a,-30,45,5,3,1.1093,0.3835,112.536,124.8408,13.747,46.5303,6.6265,-0.0486,16.2667,69.375,0
R134a,-30,45,5,5,1.136,0.3912,112.536,127.8445,13.747,46.5303,6.5907,-0.0486,15.4343,68.5067,0
R134a,-30,45,5,7,1.1625,0.3989,112.536,130.8231,13.747,46.5303,6.537,-0.0486,14.6269,67.6457,0
R134a,-30,45,7,3,1.1125,0.3844,113.6268,126.4077,13.747,46.6929,7.0796,-0.0949,16.2667,69.9443,0
R134a,-30,45,7,5,1.1389,0.3921,113.6268,129.4115,13.747,46.6929,7.0437,-0.0949,15.4343,69.076,0
R134a,-30,45,7,7,1.1651,0.3997,113.6268,132.3901,13.747,46.6929,6.9901,-0.0949,14.6269,68.215,0
R134a,-30,45,10,3,1.1173,0.3858,115.2494,128.7638,13.747,46.9276,7.7819,-0.1924,16.2667,70.7838,0
R134a,-30,45,10,5,1.1433,0.3934,115.2494,131.7675,13.747,46.9276,7.7461,-0.1924,15.4343,69.9155,0
R134a,-30,45,10,7,1.1692,0.4008,115.2494,134.7461,13.747,46.9276,7.6924,-0.1924,14.6269,69.0545,0
R134a,-30,50,3,3,0.9879,0.3773,117.1152,115.699,15.619,47.9282,6.4451,-0.0176,18.5773,72.933,0
R134a,-30,50,3,5,1.0141,0.3852,117.1152,118.7656,15.619,47.9282,6.4097,-0.0176,17.6819,72.0021,0
R134a,-30,50,3,7,1.04,0.3931,117.1152,121.8029,15.619,47.9282,6.3566,-0.0176,16.8129,71.0801,0
R134a,-30,50,5,3,0.9914,0.3783,118.2806,117.2635,15.619,48.1107,6.8939,-0.0486,18.5773,73.5333,0
R134a,-30,50,5,5,1.0173,0.3862,118.2806,120.3301,15.619,48.1107,6.8584,-0.0486,17.6819,72.6024,0
R134a,-30,50,5,7,1.043,0.394,118.2806,123.3674,15.619,48.1107,6.8054,-0.0486,16.8129,71.6804,0
R134a,-30,50,7,3,0.9949,0.3794,119.4372,118.8305,15.619,48.2876,7.3548,-0.0949,18.5773,74.1248,0
R134a,-30,50,7,5,1.0206,0.3872,119.4372,121.897,15.619,48.2876,7.3193,-0.0949,17.6819,73.1939,0
R134a,-30,50,7,7,1.046,0.3949,119.4372,124.9343,15.619,48.2876,7.2663,-0.0949,16.8129,72.2719,0
R134a,-30,50,10,3,1.0002,0.381,121.1572,121.1865,15.619,48.5431,8.0686,-0.1924,18.5773,74.9965,0
R134a,-30,50,10,5,1.0256,0.3887,121.1572,124.2531,15.619,48.5431,8.0331,-0.1924,17.6819,74.0656,0
R134a,-30,50,10,7,1.0506,0.3963,121.1572,127.2904,15.619,48.5431,7.9801,-0.1924,16.8129,73.1436,0
R134a,-30,55,3,3,0.8807,0.3712,122.5966,107.9733,17.677,49.3778,6.6773,-0.0176,21.0566,77.0942,0
R134a,-30,55,3,5,0.9063,0.3793,122.5966,111.1122,17.677,49.3778,6.6421,-0.0176,20.0948,76.0972,0
R134a,-30,55,3,7,0.9316,0.3873,122.5966,114.2165,17.677,49.3778,6.5896,-0.0176,19.1614,75.1112,0
R134a,-30,55,5,3,0.8846,0.3724,123.8285,109.5379,17.677,49.5757,7.1329,-0.0486,21.0566,77.7165,0
R134a,-30,55,5,5,0.9099,0.3804,123.8285,112.6767,17.677,49.5757,7.0977,-0.0486,20.0948,76.7196,0
R134a,-30,55,5,7,0.935,0.3884,123.8285,115.781,17.677,49.5757,7.0451,-0.0486,19.1614,75.7336,0
R134a,-30,55,7,3,0.8885,0.3736,125.0509,111.1048,17.677,49.7674,7.6003,-0.0949,21.0566,78.3295,0
R134a,-30,55,7,5,0.9136,0.3816,125.0509,114.2436,17.677,49.7674,7.5652,-0.0949,20.0948,77.3325,0
R134a,-30,55,7,7,0.9384,0.3895,125.0509,117.348,17.677,49.7674,7.5126,-0.0949,19.1614,76.3465,0
R134a,-30,55,10,3,0.8943,0.3755,126.8681,113.4609,17.677,50.0443,8.3238,-0.1924,21.0566,79.2323,0
R134a,-30,55,10,5,0.9191,0.3833,126.8681,116.5997,17.677,50.0443,8.2886,-0.1924,20.0948,78.2353,0
R134a,-30,55,10,7,0.9435,0.3911,126.8681,119.704,17.677,50.0443,8.2361,-0.1924,19.1614,77.2493,0
R134a,-25,30,3,3,1.7794,0.4044,83.4218,148.4384,7.239,37.0463,4.2005,-0.0172,8.4591,49.6887,0
R134a,-25,30,3,5,1.8136,0.4118,83.4218,151.294,7.239,37.0463,4.163,-0.0172,7.8742,49.0662,0
R134a,-25,30,3,7,1.8476,0.4192,83.4218,154.1322,7.239,37.0463,4.1066,-0.0172,7.3119,48.4475,0
R134a,-25,30,5,3,1.7811,0.4048,84.2355,150.0352,7.239,37.1653,4.5641,-0.0477,8.4591,50.1409,0
R134a,-25,30,5,5,1.815,0.4121,84.2355,152.8908,7.239,37.1653,4.5266,-0.0477,7.8742,49.5184,0
R134a,-25,30,5,7,1.8487,0.4195,84.2355,155.729,7.239,37.1653,4.4702,-0.0477,7.3119,48.8997,0
R134a,-25,30,7,3,1.783,0.4052,85.0433,151.6337,7.239,37.2804,4.9403,-0.093,8.4591,50.5869,0
R134a,-25,30,7,5,1.8166,0.4125,85.0433,154.4892,7.239,37.2804,4.9028,-0.093,7.8742,49.9644,0
R134a,-25,30,7,7,1.85,0.4198,85.0433,157.3274,7.239,37.2804,4.8464,-0.093,7.3119,49.3457,0
R134a,-25,30,10,3,1.786,0.4058,86.2448,154.0357,7.239,37.4463,5.5281,-0.1886,8.4591,51.245,0
R134a,-25,30,10,5,1.8191,0.413,86.2448,156.8913,7.239,37.4463,5.4905,-0.1886,7.8742,50.6225,0
R134a,-25,30,10,7,1.852,0.4202,86.2448,159.7295,7.239,37.4463,5.4342,-0.1886,7.3119,50.0038,0
R134a,-25,35,3,3,1.5751,0.4009,89.6588,141.2245,8.336,39.0734,4.538,-0.0172,10.1166,53.7107,0
R134a,-25,35,3,5,1.6075,0.4085,89.6588,144.1241,8.336,39.0734,4.5011,-0.0172,9.4752,53.0324,0
R134a,-25,35,3,7,1.6396,0.416,89.6588,147.0042,8.336,39.0734,4.4457,-0.0172,8.8567,52.3586,0
R134a,-25,35,5,3,1.5774,0.4015,90.54,142.8213,8.336,39.206,4.9149,-0.0477,10.1166,54.1898,0
R134a,-25,35,5,5,1.6095,0.409,90.54,145.7209,8.336,39.206,4.878,-0.0477,9.4752,53.5115,0
R134a,-25,35,5,7,1.6413,0.4164,90.54,148.601,8.336,39.206,4.8227,-0.0477,8.8567,52.8377,0
R134a,-25,35,7,3,1.5798,0.402,91.4147,144.4198,8.336,39.3343,5.3043,-0.093,10.1166,54.6622,0
R134a,-25,35,7,5,1.6115,0.4095,91.4147,147.3193,8.336,39.3343,5.2674,-0.093,9.4752,53.9838,0
R134a,-25,35,7,7,1.6431,0.4168,91.4147,150.1994,8.336,39.3343,5.212,-0.093,8.8567,53.3101,0
R134a,-25,35,10,3,1.5836,0.4029,92.7154,146.8218,8.336,39.5192,5.9114,-0.1886,10.1166,55.3587,0
R134a,-25,35,10,5,1.6148,0.4102,92.7154,149.7214,8.336,39.5192,5.8745,-0.1886,9.4752,54.6804,0
R134a,-25,35,10,7,1.6459,0.4175,92.7154,152.6015,8.336,39.5192,5.8192,-0.1886,8.8567,54.0066,0
R134a,-25,40,3,3,1.3994,0.3969,95.6864,133.9009,9.554,40.9535,4.8473,-0.0172,11.9257,57.7093,0
R134a,-25,40,3,5,1.4302,0.4046,95.6864,136.8495,9.554,40.9535,4.811,-0.0172,11.2267,56.9739,0
R134a,-25,40,3,7,1.4608,0.4122,95.6864,139.7761,9.554,40.9535,4.7566,-0.0172,10.5513,56.2441,0
R134a,-25,40,5,3,1.4022,0.3976,96.6349,135.4977,9.554,41.1001,5.2358,-0.0477,11.9257,58.2141,0
R134a,-25,40,5,5,1.4327,0.4052,96.6349,138.4463,9.554,41.1001,5.1995,-0.0477,11.2267,57.4787,0
R134a,-25,40,5,7,1.463,0.4127,96.6349,141.3729,9.554,41.1001,5.1451,-0.0477,10.5513,56.7488,0
R134a,-25,40,7,3,1.405,0.3983,97.576,137.0962,9.554,41.2421,5.6367,-0.093,11.9257,58.7115,0
R134a,-25,40,7,5,1.4352,0.4058,97.576,140.0448,9.554,41.2421,5.6003,-0.093,11.2267,57.9761,0
R134a,-25,40,7,7,1.4652,0.4133,97.576,142.9714,9.554,41.2421,5.5459,-0.093,10.5513,57.2462,0
R134a,-25,40,10,3,1.4094,0.3994,98.9752,139.4982,9.554,41.4467,6.2607,-0.1886,11.9257,59.4446,0
R134a,-25,40,10,5,1.4392,0.4068,98.9752,142.4468,9.554,41.4467,6.2244,-0.1886,11.2267,58.7093,0
R134a,-25,40,10,7,1.4688,0.4142,98.9752,145.3734,9.554,41.4467,6.17,-0.1886,10.5513,57.9794,0
R134a,-25,45,3,3,1.2458,0.3922,101.5089,126.4569,10.902,42.6965,5.1293,-0.0172,13.8898,61.6983,0
R134a,-25,45,3,5,1.2754,0.4,101.5089,129.4607,10.902,42.6965,5.0934,-0.0172,13.1316,60.9042,0
R134a,-25,45,3,7,1.3047,0.4078,101.5089,132.4393,10.902,42.6965,5.0398,-0.0172,12.3978,60.1168,0
R134a,-25,45,5,3,1.249,0.393,102.5243,128.0537,10.902,42.8577,5.5278,-0.0477,13.8898,62.2277,0
R134a,-25,45,5,5,1.2783,0.4008,102.5243,131.0575,10.902,42.8577,5.492,-0.0477,13.1316,61.4336,0
R134a,-25,45,5,7,1.3074,0.4085,102.5243,134.0361,10.902,42.8577,5.4384,-0.0477,12.3978,60.6462,0
R134a,-25,45,7,3,1.2523,0.3939,103.5316,129.6521,10.902,43.0137,5.9386,-0.093,13.8898,62.7491,0
R134a,-25,45,7,5,1.2813,0.4016,103.5316,132.6559,10.902,43.0137,5.9027,-0.093,13.1316,61.955,0
R134a,-25,45,7,7,1.3101,0.4092,103.5316,135.6345,10.902,43.0137,5.8491,-0.093,12.3978,61.1676,0
R134a,-25,45,10,3,1.2573,0.3952,105.0288,132.0542,10.902,43.2387,6.5773,-0.1886,13.8898,63.5172,0
R134a,-25,45,10,5,1.2859,0.4028,105.0288,135.058,10.902,43.2387,6.5414,-0.1886,13.1316,62.7231,0
R134a,-25,45,10,7,1.3143,0.4103,105.0288,138.0366,10.902,43.2387,6.4878,-0.1886,12.3978,61.9357,0
R134a,-25,50,3,3,1.1097,0.3868,107.1303,118.8797,12.386,44.3112,5.3851,-0.0172,16.0132,65.6922,0
R134a,-25,50,3,5,1.1383,0.3948,107.1303,121.9463,12.386,44.3112,5.3496,-0.0172,15.1935,64.8371,0
R134a,-25,50,3,7,1.1666,0.4027,107.1303,124.9836,12.386,44.3112,5.2966,-0.0172,14.3996,63.9901,0
R134a,-25,50,5,3,1.1133,0.3878,108.2125,120.4765,12.386,44.4875,5.7923,-0.0477,16.0132,66.2454,0
R134a,-25,50,5,5,1.1417,0.3957,108.2125,123.5431,12.386,44.4875,5.7569,-0.0477,15.1935,65.3902,0
R134a,-25,50,5,7,1.1697,0.4036,108.2125,126.5803,12.386,44.4875,5.7039,-0.0477,14.3996,64.5433,0
R134a,-25,50,7,3,1.117,0.3889,109.2858,122.0749,12.386,44.6582,6.2116,-0.093,16.0132,66.7899,0
R134a,-25,50,7,5,1.1451,0.3967,109.2858,125.1415,12.386,44.6582,6.1762,-0.093,15.1935,65.9348,0
R134a,-25,50,7,7,1.1729,0.4044,109.2858,128.1788,12.386,44.6582,6.1231,-0.093,14.3996,65.0879,0
R134a,-25,50,10,3,1.1226,0.3904,110.8808,124.477,12.386,44.9042,6.8628,-0.1886,16.0132,67.5917,0
R134a,-25,50,10,5,1.1503,0.3981,110.8808,127.5435,12.386,44.9042,6.8274,-0.1886,15.1935,66.7366,0
R134a,-25,50,10,7,1.1777,0.4058,110.8808,130.5808,12.386,44.9042,6.7744,-0.1886,14.3996,65.8896,0
R134a,-25,55,3,3,0.9876,0.3807,112.555,111.154,14.018,45.8057,5.6165,-0.0172,18.3016,69.7066,0
R134a,-25,55,3,5,1.0154,0.3889,112.555,114.2929,14.018,45.8057,5.5814,-0.0172,17.4174,68.7872,0
R134a,-25,55,3,7,1.043,0.3969,112.555,117.3972,14.018,45.8057,5.5288,-0.0172,16.5606,67.8779,0
R134a,-25,55,5,3,0.9916,0.3819,113.704,112.7508,14.018,45.9977,6.0313,-0.0477,18.3016,70.2829,0
R134a,-25,55,5,5,1.0192,0.39,113.704,115.8897,14.018,45.9977,5.9961,-0.0477,17.4174,69.3635,0
R134a,-25,55,5,7,1.0465,0.398,113.704,118.994,14.018,45.9977,5.9436,-0.0477,16.5606,68.4542,0
R134a,-25,55,7,3,0.9957,0.3831,114.8434,114.3492,14.018,46.1834,6.4579,-0.093,18.3016,70.8499,0
R134a,-25,55,7,5,1.023,0.3911,114.8434,117.4881,14.018,46.1834,6.4227,-0.093,17.4174,69.9305,0
R134a,-25,55,7,7,1.0501,0.399,114.8434,120.5924,14.018,46.1834,6.3701,-0.093,16.5606,69.0212,0
R134a,-25,55,10,3,1.0018,0.3849,116.536,116.7513,14.018,46.4513,7.1198,-0.1886,18.3016,71.6842,0
R134a,-25,55,10,5,1.0288,0.3928,116.536,119.8902,14.018,46.4513,7.0846,-0.1886,17.4174,70.7648,0
R134a,-25,55,10,7,1.0554,0.4006,116.536,122.9945,14.018,46.4513,7.0321,-0.1886,16.5606,69.8555,0
R134a,-20,30,3,3,2.0454,0.4138,74.1161,151.5959,5.803,33.2822,3.3346,-0.0169,6.8458,43.4456,0
R134a,-20,30,3,5,2.0839,0.4213,74.1161,154.4515,5.803,33.2822,3.297,-0.0169,6.3286,42.8909,0
R134a,-20,30,3,7,2.1222,0.4287,74.1161,157.2897,5.803,33.2822,3.2407,-0.0169,5.8337,42.3396,0
R134a,-20,30,5,3,2.0471,0.4142,74.8488,153.2264,5.803,33.3937,3.6568,-0.0468,6.8458,43.8495,0
R134a,-20,30,5,5,2.0853,0.4216,74.8488,156.082,5.803,33.3937,3.6193,-0.0468,6.3286,43.2948,0
R134a,-20,30,5,7,2.1232,0.4289,74.8488,158.9202,5.803,33.3937,3.5629,-0.0468,5.8337,42.7435,0
R134a,-20,30,7,3,2.049,0.4145,75.5757,154.8577,5.803,33.5013,3.9916,-0.0913,6.8458,44.2475,0
R134a,-20,30,7,5,2.0868,0.4219,75.5757,157.7133,5.803,33.5013,3.9541,-0.0913,6.3286,43.6928,0
R134a,-20,30,7,7,2.1244,0.4292,75.5757,160.5515,5.803,33.5013,3.8977,-0.0913,5.8337,43.1414,0
R134a,-20,30,10,3,2.0521,0.4151,76.6561,157.3077,5.803,33.6562,4.5171,-0.185,6.8458,44.8341,0
R134a,-20,30,10,5,2.0894,0.4224,76.6561,160.1633,5.803,33.6562,4.4795,-0.185,6.3286,44.2794,0
R134a,-20,30,10,7,2.1264,0.4296,76.6561,163.0015,5.803,33.6562,4.4232,-0.185,5.8337,43.7281,0
R134a,-20,35,3,3,1.798,0.4104,80.3022,144.382,6.682,35.376,3.6543,-0.0169,8.3321,47.3454,0
R134a,-20,35,3,5,1.8341,0.418,80.3022,147.2816,6.682,35.376,3.6174,-0.0169,7.7594,46.7359,0
R134a,-20,35,3,7,1.87,0.4255,80.3022,150.1617,6.682,35.376,3.562,-0.0169,7.2093,46.1305,0
R134a,-20,35,5,3,1.8003,0.4109,81.1027,146.0125,6.682,35.5013,3.9906,-0.0468,8.3321,47.7772,0
R134a,-20,35,5,5,1.8361,0.4184,81.1027,148.9121,6.682,35.5013,3.9537,-0.0468,7.7594,47.1677,0
R134a,-20,35,5,7,1.8716,0.4259,81.1027,151.7922,6.682,35.5013,3.8984,-0.0468,7.2093,46.5622,0
R134a,-20,35,7,3,1.8028,0.4114,81.8967,147.6439,6.682,35.6224,4.3393,-0.0913,8.3321,48.2025,0
R134a,-20,35,7,5,1.8382,0.4189,81.8967,150.5434,6.682,35.6224,4.3024,-0.0913,7.7594,47.593,0
R134a,-20,35,7,7,1.8734,0.4263,81.8967,153.4235,6.682,35.6224,4.2471,-0.0913,7.2093,46.9875,0
R134a,-20,35,10,3,1.8067,0.4122,83.0765,150.0938,6.682,35.7966,4.8854,-0.185,8.3321,48.829,0
R134a,-20,35,10,5,1.8416,0.4196,83.0765,152.9934,6.682,35.7966,4.8485,-0.185,7.7594,48.2195,0
R134a,-20,35,10,7,1.8763,0.4269,83.0765,155.8735,6.682,35.7966,4.7931,-0.185,7.2093,47.6141,0
R134a,-20,40,3,3,1.5885,0.4064,86.2793,137.0584,7.659,37.3169,3.9504,-0.0169,9.9674,51.2178,0
R134a,-20,40,3,5,1.6227,0.4141,86.2793,140.007,7.659,37.3169,3.9141,-0.0169,9.3384,50.5524,0
R134a,-20,40,3,7,1.6566,0.4217,86.2793,142.9336,7.659,37.3169,3.8597,-0.0169,8.7324,49.892,0
R134a,-20,40,5,3,1.5914,0.407,87.1473,138.689,7.659,37.4565,4.2991,-0.0468,9.9674,51.6762,0
R134a,-20,40,5,5,1.6253,0.4147,87.1473,141.6376,7.659,37.4565,4.2628,-0.0468,9.3384,51.0109,0
R134a,-20,40,5,7,1.6588,0.4222,87.1473,144.5642,7.659,37.4565,4.2084,-0.0468,8.7324,50.3504,0
R134a,-20,40,7,3,1.5944,0.4077,88.0079,140.3203,7.659,37.5914,4.66,-0.0913,9.9674,52.1276,0
R134a,-20,40,7,5,1.6279,0.4153,88.0079,143.2689,7.659,37.5914,4.6237,-0.0913,9.3384,51.4622,0
R134a,-20,40,7,7,1.6612,0.4228,88.0079,146.1955,7.659,37.5914,4.5693,-0.0913,8.7324,50.8018,0
R134a,-20,40,10,3,1.599,0.4087,89.2865,142.7702,7.659,37.7856,5.2241,-0.185,9.9674,52.7921,0
R134a,-20,40,10,5,1.632,0.4162,89.2865,145.7188,7.659,37.7856,5.1878,-0.185,9.3384,52.1267,0
R134a,-20,40,10,7,1.6648,0.4236,89.2865,148.6454,7.659,37.7856,5.1333,-0.185,8.7324,51.4663,0
R134a,-20,45,3,3,1.4081,0.4017,92.0514,129.6144,8.739,39.1154,4.2231,-0.0169,11.7548,55.0764,0
R134a,-20,45,3,5,1.4407,0.4095,92.0514,132.6182,8.739,39.1154,4.1873,-0.0169,11.0679,54.3536,0
R134a,-20,45,3,7,1.4731,0.4173,92.0514,135.5968,8.739,39.1154,4.1337,-0.0169,10.4048,53.6369,0
R134a,-20,45,5,3,1.4114,0.4025,92.9865,131.2449,8.739,39.2698,4.5826,-0.0468,11.7548,55.5604,0
R134a,-20,45,5,5,1.4437,0.4103,92.9865,134.2487,8.739,39.2698,4.5468,-0.0468,11.0679,54.8377,0
R134a,-20,45,5,7,1.4758,0.418,92.9865,137.2273,8.739,39.2698,4.4931,-0.0468,10.4048,54.1209,0
R134a,-20,45,7,3,1.4149,0.4033,93.9136,132.8762,8.739,39.419,4.9542,-0.0913,11.7548,56.0367,0
R134a,-20,45,7,5,1.4469,0.411,93.9136,135.88,8.739,39.419,4.9183,-0.0913,11.0679,55.314,0
R134a,-20,45,7,7,1.4786,0.4186,93.9136,138.8586,8.739,39.419,4.8647,-0.0913,10.4048,54.5972,0
R134a,-20,45,10,3,1.4201,0.4046,95.2906,135.3262,8.739,39.6339,5.5339,-0.185,11.7548,56.7376,0
R134a,-20,45,10,5,1.4517,0.4122,95.2906,138.33,8.739,39.6339,5.498,-0.185,11.0679,56.0148,0
R134a,-20,45,10,7,1.4829,0.4197,95.2906,141.3086,8.739,39.6339,5.4444,-0.185,10.4048,55.2981,0
R134a,-20,50,3,3,1.2501,0.3963,97.6224,122.0372,9.929,40.7809,4.4731,-0.0169,13.6984,58.9354,0
R134a,-20,50,3,5,1.2815,0.4043,97.6224,125.1037,9.929,40.7809,4.4376,-0.0169,12.9515,58.1531,0
R134a,-20,50,3,7,1.3126,0.4122,97.6224,128.141,9.929,40.7809,4.3846,-0.0169,12.2296,57.3782,0
R134a,-20,50,5,3,1.2539,0.3973,98.6247,123.6677,9.929,40.9507,4.842,-0.0468,13.6984,59.4442,0
R134a,-20,50,5,5,1.285,0.4052,98.6247,126.7343,9.929,40.9507,4.8065,-0.0468,12.9515,58.6619,0
R134a,-20,50,5,7,1.3158,0.4131,98.6247,129.7716,9.929,40.9507,4.7535,-0.0468,12.2296,57.887,0
R134a,-20,50,7,3,1.2578,0.3983,99.6182,125.299,9.929,41.1148,5.2227,-0.0913,13.6984,59.9446,0
R134a,-20,50,7,5,1.2886,0.4061,99.6182,128.3656,9.929,41.1148,5.1873,-0.0913,12.9515,59.1623,0
R134a,-20,50,7,7,1.3191,0.4139,99.6182,131.4029,9.929,41.1148,5.1343,-0.0913,12.2296,58.3874,0
R134a,-20,50,10,3,1.2637,0.3998,101.0932,127.749,9.929,41.3511,5.816,-0.185,13.6984,60.6805,0
R134a,-20,50,10,5,1.294,0.4075,101.0932,130.8156,9.929,41.3511,5.7806,-0.185,12.9515,59.8982,0
R134a,-20,50,10,7,1.3241,0.4152,101.0932,133.8529,9.929,41.3511,5.7276,-0.185,12.2296,59.1233,0
R134a,-20,55,3,3,1.1099,0.3902,102.9967,114.3115,11.237,42.3218,4.7016,-0.0169,15.8035,62.81,0
R134a,-20,55,3,5,1.1403,0.3984,102.9967,117.4504,11.237,42.3218,4.6664,-0.0169,14.9938,61.9651,0
R134a,-20,55,3,7,1.1705,0.4065,102.9967,120.5547,11.237,42.3218,4.6139,-0.0169,14.2106,61.1295,0
R134a,-20,55,5,3,1.1141,0.3913,104.0662,115.942,11.237,42.5075,5.0786,-0.0468,15.8035,63.3428,0
R134a,-20,55,5,5,1.1443,0.3994,104.0662,119.0809,11.237,42.5075,5.0434,-0.0468,14.9938,62.4979,0
R134a,-20,55,5,7,1.1741,0.4075,104.0662,122.1852,11.237,42.5075,4.9909,-0.0468,14.2106,61.6623,0
R134a,-20,55,7,3,1.1184,0.3925,105.126,117.5733,11.237,42.687,5.4674,-0.0913,15.8035,63.8666,0
R134a,-20,55,7,5,1.1483,0.4005,105.126,120.7122,11.237,42.687,5.4322,-0.0913,14.9938,63.0217,0
R134a,-20,55,7,7,1.1778,0.4085,105.126,123.8165,11.237,42.687,5.3797,-0.0913,14.2106,62.1861,0
R134a,-20,55,10,3,1.1249,0.3942,106.6992,120.0233,11.237,42.9456,6.0724,-0.185,15.8035,64.6365,0
R134a,-20,55,10,5,1.1543,0.4021,106.6992,123.1622,11.237,42.9456,6.0372,-0.185,14.9938,63.7915,0
R134a,-20,55,10,7,1.1834,0.41,106.6992,126.2665,11.237,42.9456,5.9847,-0.185,14.2106,62.9559,0
